ID,Category,Item Name,Sentence Template,Correct Number,Unit,Is Mastered
94,其他,抹茶拿鐵（Ｍ）,抹茶拿鐵需要 [NUM] ml的熱水。,160,ml,✗ 未掌握
95,其他,抹茶拿鐵（Ｍ）,抹茶拿鐵需要 [NUM] ml的牛奶。,120,ml,✗ 未掌握
32,義式咖啡,世界冠軍拿鐵（L）,世界冠軍拿鐵（L）需要[NUM]ml的牛奶,300,ml,✓ 已掌握
31,義式咖啡,世界冠軍拿鐵（M）,世界冠軍拿鐵(Ｍ)需要[NUM]ml的牛奶。,250,ml,✓ 已掌握
33,義式咖啡,世界冠軍拿鐵（XL）,世界冠軍拿鐵（XL）需要[NUM]ml的牛奶,400,ml,✓ 已掌握
39,義式咖啡,卡布奇諾（L）,卡布奇諾（L）需要 [NUM] ml的牛奶。,250,ml,✗ 未掌握
38,義式咖啡,卡布奇諾（M）,卡布奇諾（M）需要 [NUM] ml的牛奶。,200,ml,✓ 已掌握
51,義式咖啡,摩卡（L）,摩卡（L）需要 [NUM] g的巧克力醬。,35,g,✓ 已掌握
53,義式咖啡,摩卡（L）,摩卡（L）需要 [NUM] ml的牛奶。,300,ml,✓ 已掌握
50,義式咖啡,摩卡（M）,摩卡（M）需要 [NUM] g的巧克力醬。,25,g,✗ 未掌握
52,義式咖啡,摩卡（M）,摩卡（M）需要 [NUM] ml的牛奶。,250,ml,✗ 未掌握
56,義式咖啡,桂花冠軍拿鐵（L）,桂花冠軍拿鐵（L）需要 [NUM] g的桂花釀。,25,g,✓ 已掌握
57,義式咖啡,桂花冠軍拿鐵（L）,桂花冠軍拿鐵（L）需要 [NUM] ml的牛奶。,300,g,✗ 未掌握
54,義式咖啡,桂花冠軍拿鐵（M）,桂花冠軍拿鐵（M）需要 [NUM] g的桂花釀。,20,g,✗ 未掌握
55,義式咖啡,桂花冠軍拿鐵（M）,桂花冠軍拿鐵（M）需要 [NUM] ml的牛奶。,250,ml,✗ 未掌握
60,義式咖啡,烤糖冠軍拿鐵（L）,烤糖冠軍拿鐵（L）需要 [NUM] g的黑糖。,20,g,✗ 未掌握
61,義式咖啡,烤糖冠軍拿鐵（L）,烤糖冠軍拿鐵（L）需要 [NUM] ml的牛奶。,300,ml,✗ 未掌握
58,義式咖啡,烤糖冠軍拿鐵（M）,烤糖冠軍拿鐵（M）需要 [NUM] g的黑糖。,15,g,✗ 未掌握
59,義式咖啡,烤糖冠軍拿鐵（M）,烤糖冠軍拿鐵（M）需要 [NUM] ml的牛奶。,250,ml,✗ 未掌握
